,Overall rank,Score,Country,GDP (Billions),Social Score,Basic Human Needs,Foundation of Wellbeing,Opportunity,Life Expectancy,language,population,lat,lng,independent,landlocked,cca3,GDP per Capita,Region
0,1,7.769,Finland,296.016,91.89,96.22,91.29,88.15,82.312,"{'fin': 'Finnish', 'swe': 'Swedish'}",5530719,64.0,26.0,True,False,FIN,5.3522155076039846e-05,Western Europe
1,2,7.6,Denmark,396.666,92.11,96.11,91.58,88.66,81.256,{'dan': 'Danish'},5831404,56.0,10.0,True,False,DNK,6.802238363179776e-05,Western Europe
2,3,7.554,Norway,445.507,92.73,96.85,93.39,87.95,82.788,"{'nno': 'Norwegian Nynorsk', 'nob': 'Norwegian Bokmål', 'smi': 'Sami'}",5379475,62.0,10.0,True,False,NOR,8.281607405927159e-05,Western Europe
3,4,7.494,Iceland,25.476,91.09,98.07,92.81,82.39,83.37,{'isl': 'Icelandic'},366425,65.0,-18.0,True,False,ISL,6.952582383843897e-05,Western Europe
4,5,7.488,Netherlands,1007.562,91.06,96.48,91.18,85.53,82.636,{'nld': 'Dutch'},16655799,52.5,5.75,True,False,NLD,6.049316517328289e-05,Western Europe
5,6,7.48,Switzerland,810.83,91.42,96.78,91.99,85.49,84.112,"{'fra': 'French', 'gsw': 'Swiss German', 'ita': 'Italian', 'roh': 'Romansh'}",8654622,47.0,8.0,True,True,CHE,9.36875117133943e-05,Western Europe
6,7,7.343,Sweden,622.365,91.62,96.58,91.03,87.23,83.178,{'swe': 'Swedish'},10353442,62.0,15.0,True,False,SWE,6.011189322352895e-05,Western Europe
7,8,7.307,New Zealand,247.64,91.64,97.22,92.57,85.13,82.652,"{'eng': 'English', 'mri': 'Māori', 'nzs': 'New Zealand Sign Language'}",5084300,-41.0,174.0,True,False,NZL,4.870680329642232e-05,Australia and New Zealand
8,9,7.278,Canada,2015.983,91.4,97.03,90.88,86.31,82.812,"{'eng': 'English', 'fra': 'French'}",38005238,60.0,-95.0,True,False,CAN,5.304487239364216e-05,North America
9,10,7.246,Austria,481.209,89.5,96.03,91.84,80.63,81.91,{'bar': 'Austro-Bavarian German'},8917205,47.33333333,13.33333333,True,True,AUT,5.39641064660956e-05,Western Europe
10,11,7.228,Australia,1610.556,91.29,97.25,91.07,85.55,83.792,{'eng': 'English'},25687041,-27.0,133.0,True,False,AUS,6.269916414272863e-05,Australia and New Zealand
